상품번호,카테고리정보,최소가격,상품명,상세스펙,등록월,상품의견,가격,메모리,이미지URL
16586924,디지털 완제품_노트북,1699000,삼성전자 갤럭시북2 프로 NT950XEE-X71A,노트북 / 																											운영체제(OS): 																											윈도우11홈 / 												화면정보 39.6cm(15.6인치) / 																											1920x1080(FHD) / 												CPU 인텔 / 																											코어i7-12세대 / 																											i7-1260P (2.1GHz) / 																											12코어(4P+8E) / 												램 LPDDR5(온보드) / 																											램 용량: 																											16GB / 												램 교체: 불가능 / 그래픽 외장그래픽 / 															Arc A350M / 																											VRAM:4GB / 												저장장치 M.2(NVMe) / 																											512GB / 																											저장 슬롯: 																											2개 / 												네트워크 무선랜: 802.11ax(Wi-Fi 6E) / 영상입출력 HDMI / 																											웹캠(FHD) / 												단자 썬더볼트4: 																											1개(USB-C겸용) / 												USB-C: 1개 / USB-A: 1개 / MicroSD카드 / 부가기능 지문 인식 / 																											TPM / 																											USB-PD / 																											MIL-STD / 												입력장치 키보드 라이트 / 																											ㅗ형 방향키 / 																											숫자 키패드(3열) / 												파워 배터리: 																											68Wh / 																											어댑터: 																											65W / 																											충전단자: 																											타입C / 												주요제원 두께: 																											13.3mm / 																											무게: 																											1.17kg / 												색상: 그라파이트,2022.03.,(437건),"['1,699,000원\n\n가격정보 더보기']",['SSD 512GB'],//img.danawa.com/prod_img/500000/924/586/img/16586924_1.jpg?shrink=130:130&_v=20220923142226
16586498,디지털 완제품_노트북,1197000,삼성전자 갤럭시북2 프로 NT930XEW-A51A,노트북 / 																											운영체제(OS): 																											미포함(프리도스) / 												화면정보 33.7cm(13.3인치) / 																											1920x1080(FHD) / 												CPU 인텔 / 																											코어i5-12세대 / 																											i5-1240P (1.7GHz) / 																											12코어(4P+8E) / 												램 LPDDR5(온보드) / 																											램 용량: 																											16GB / 												램 교체: 불가능 / 그래픽 내장그래픽 / Iris Xe / 저장장치 M.2(NVMe) / 																											256GB / 																											저장 슬롯: 																											1개 / 												네트워크 무선랜: 802.11ax(Wi-Fi 6E) / 영상입출력 HDMI / 																											웹캠(FHD) / 												단자 썬더볼트4: 																											1개(USB-C겸용) / 												USB-C: 1개 / USB-A: 1개 / MicroSD카드 / 부가기능 지문 인식 / 																											TPM / 																											USB-PD / 																											MIL-STD / 												입력장치 키보드 라이트 / 																											ㅗ형 방향키 / 												파워 배터리: 																											63Wh / 																											어댑터: 																											65W / 																											충전단자: 																											타입C / 												주요제원 두께: 																											11.2mm / 																											무게: 																											870g / 												색상: 실버,2022.03.,(230건),"['1,197,000원\n\n가격정보 더보기']",['SSD 256GB'],//img.danawa.com/prod_img/500000/498/586/img/16586498_1.jpg?shrink=130:130&_v=20220404123658
16587347,디지털 완제품_노트북,1599000,삼성전자 갤럭시북2 프로360 NT950QEW-A51A,2 in 1 / 																											운영체제(OS): 																											미포함(프리도스) / 												화면정보 39.6cm(15.6인치) / 																											1920x1080(FHD) / 												CPU 인텔 / 																											코어i5-12세대 / 																											i5-1240P (1.7GHz) / 																											12코어(4P+8E) / 												램 LPDDR5(온보드) / 																											램 용량: 																											16GB / 												램 교체: 불가능 / 그래픽 내장그래픽 / Iris Xe / 저장장치 M.2(NVMe) / 																											256GB / 																											저장 슬롯: 																											2개 / 												네트워크 무선랜: 802.11ax(Wi-Fi 6E) / 영상입출력 웹캠(FHD) / 												단자 썬더볼트4: 																											1개(USB-C겸용) / 												USB-C: 2개 / MicroSD카드 / 부가기능 지문 인식 / 																											TPM / 																											전용 펜 지원 / 												전용 펜 포함 / 															USB-PD / 																											MIL-STD / 												입력장치 키보드 라이트 / 																											ㅗ형 방향키 / 																											숫자 키패드(3열) / 												파워 배터리: 																											68Wh / 																											어댑터: 																											65W / 																											충전단자: 																											타입C / 												주요제원 두께: 																											11.9mm / 																											무게: 																											1.41kg / 												색상: 그라파이트,2022.03.,(96건),"['1,599,000원\n\n가격정보 더보기']",['SSD 256GB'],//img.danawa.com/prod_img/500000/347/587/img/16587347_1.jpg?shrink=130:130&_v=20220506093855
16628510,디지털 완제품_노트북,1891670,삼성전자 갤럭시북2 프로360 NT950QED-KC71D,2 in 1 / 																											운영체제(OS): 																											윈도우11홈 / 												화면정보 39.6cm(15.6인치) / 																											1920x1080(FHD) / 												CPU 인텔 / 																											코어i7-12세대 / 																											i7-1260P (2.1GHz) / 																											12코어(4P+8E) / 												램 LPDDR5(온보드) / 																											램 용량: 																											16GB / 												램 교체: 불가능 / 그래픽 내장그래픽 / Iris Xe / 저장장치 M.2(NVMe) / 																											512GB / 																											저장 슬롯: 																											2개 / 												네트워크 무선랜: 802.11ax(Wi-Fi 6E) / 영상입출력 웹캠(FHD) / 												단자 썬더볼트4: 																											1개(USB-C겸용) / 												USB-C: 2개 / MicroSD카드 / 부가기능 지문 인식 / 																											TPM / 																											전용 펜 지원 / 												전용 펜 포함 / 															USB-PD / 																											MIL-STD / 												입력장치 ㅗ형 방향키 / 																											숫자 키패드(3열) / 												파워 배터리: 																											68Wh / 																											어댑터: 																											65W / 																											충전단자: 																											타입C / 												주요제원 두께: 																											11.9mm / 																											무게: 																											1.41kg / 												색상: 버건디,2022.03.,(31건),"['1,891,670원\n\n가격정보 더보기', '1,984,240원\n\n가격정보 더보기', '2,098,990원\n\n가격정보 더보기', '2,217,450원\n\n가격정보 더보기', '2,251,290원\n\n가격정보 더보기', '2,290,000원\n\n가격정보 더보기', '2,390,000원\n\n가격정보 더보기']","['1위, , , , , , , , , , , , , , , , , , , , , , , , , , , SSD 512GB', '2위, , , , , , , , , , , , , , , , , , , , , , , , , , , SSD 1TB', 'SSD 2TB', 'SSD 250GB + SSD 512GB', 'SSD 500GB + SSD 512GB', 'SSD 1TB + SSD 512GB', 'SSD 2TB + SSD 512GB']",//img.danawa.com/prod_img/500000/510/628/img/16628510_1.jpg?shrink=130:130&_v=20220726142946
16618610,디지털 완제품_노트북,1897990,삼성전자 갤럭시북2 프로360 NT950QED-K71A,2 in 1 / 																											운영체제(OS): 																											윈도우11홈 / 												화면정보 39.6cm(15.6인치) / 																											1920x1080(FHD) / 												CPU 인텔 / 																											코어i7-12세대 / 																											i7-1260P (2.1GHz) / 																											12코어(4P+8E) / 												램 LPDDR5(온보드) / 																											램 용량: 																											16GB / 												램 교체: 불가능 / 그래픽 내장그래픽 / Iris Xe / 저장장치 M.2(NVMe) / 																											512GB / 																											저장 슬롯: 																											2개 / 												네트워크 무선랜: 802.11ax(Wi-Fi 6E) / 영상입출력 웹캠(FHD) / 												단자 썬더볼트4: 																											1개(USB-C겸용) / 												USB-C: 2개 / MicroSD카드 / 부가기능 지문 인식 / 																											TPM / 																											전용 펜 지원 / 												전용 펜 포함 / 															USB-PD / 																											MIL-STD / 												입력장치 키보드 라이트 / 																											ㅗ형 방향키 / 																											숫자 키패드(3열) / 												파워 배터리: 																											68Wh / 																											어댑터: 																											65W / 																											충전단자: 																											타입C / 												주요제원 두께: 																											11.9mm / 																											무게: 																											1.41kg / 												색상: 그라파이트,2022.03.,(575건),"['1,897,990원\n\n가격정보 더보기']",['SSD 512GB'],//img.danawa.com/new/noData/img/noImg_160.gif
,,,,,,,,,
16629008,디지털 완제품_노트북,1797000,삼성전자 갤럭시북2 프로360 NT930QED-K71A,2 in 1 / 																											운영체제(OS): 																											윈도우11홈 / 												화면정보 33.7cm(13.3인치) / 																											1920x1080(FHD) / 												CPU 인텔 / 																											코어i7-12세대 / 																											i7-1260P (2.1GHz) / 																											12코어(4P+8E) / 												램 LPDDR5(온보드) / 																											램 용량: 																											16GB / 												램 교체: 불가능 / 그래픽 내장그래픽 / Iris Xe / 저장장치 M.2(NVMe) / 																											512GB / 																											저장 슬롯: 																											1개 / 												네트워크 무선랜: 802.11ax(Wi-Fi 6E) / 영상입출력 웹캠(FHD) / 												단자 썬더볼트4: 																											1개(USB-C겸용) / 												USB-C: 2개 / MicroSD카드 / 부가기능 지문 인식 / 																											TPM / 																											전용 펜 지원 / 												전용 펜 포함 / 															USB-PD / 																											MIL-STD / 												입력장치 키보드 라이트 / 																											ㅗ형 방향키 / 												파워 배터리: 																											63Wh / 																											어댑터: 																											65W / 																											충전단자: 																											타입C / 												주요제원 두께: 																											11.5mm / 																											무게: 																											1.04kg / 												색상: 그라파이트,2022.03.,(166건),"['1,797,000원\n\n가격정보 더보기']",['SSD 512GB'],//img.danawa.com/new/noData/img/noImg_160.gif
16626110,디지털 완제품_노트북,1390000,삼성전자 갤럭시북2 프로 NT950XED-KC51G,노트북 / 																											운영체제(OS): 																											윈도우11홈 / 												화면정보 39.6cm(15.6인치) / 																											1920x1080(FHD) / 												CPU 인텔 / 																											코어i5-12세대 / 																											i5-1240P (1.7GHz) / 																											12코어(4P+8E) / 												램 LPDDR5(온보드) / 																											램 용량: 																											16GB / 												램 교체: 불가능 / 그래픽 내장그래픽 / Iris Xe / 저장장치 M.2(NVMe) / 																											256GB / 																											저장 슬롯: 																											2개 / 												네트워크 무선랜: 802.11ax(Wi-Fi 6E) / 영상입출력 HDMI / 																											웹캠(FHD) / 												단자 썬더볼트4: 																											1개(USB-C겸용) / 												USB-C: 1개 / USB-A: 1개 / MicroSD카드 / 부가기능 지문 인식 / 																											TPM / 																											USB-PD / 																											MIL-STD / 												입력장치 키보드 라이트 / 																											ㅗ형 방향키 / 																											숫자 키패드(3열) / 												파워 배터리: 																											68Wh / 																											어댑터: 																											65W / 																											충전단자: 																											타입C / 												주요제원 두께: 																											11.7mm / 																											무게: 																											1.11kg / 												색상: 그라파이트,2022.03.,(14건),"['1,390,000원\n\n가격정보 더보기']",['SSD 256GB'],//img.danawa.com/new/noData/img/noImg_160.gif
16625411,디지털 완제품_노트북,1299950,삼성전자 갤럭시북2 프로 NT930XED-KC51S,노트북 / 																											운영체제(OS): 																											윈도우11홈 / 												화면정보 33.7cm(13.3인치) / 																											1920x1080(FHD) / 												CPU 인텔 / 																											코어i5-12세대 / 																											i5-1240P (1.7GHz) / 																											12코어(4P+8E) / 												램 LPDDR5(온보드) / 																											램 용량: 																											16GB / 												램 교체: 불가능 / 그래픽 내장그래픽 / Iris Xe / 저장장치 M.2(NVMe) / 																											256GB / 																											저장 슬롯: 																											1개 / 												네트워크 무선랜: 802.11ax(Wi-Fi 6E) / 영상입출력 HDMI / 																											웹캠(FHD) / 												단자 썬더볼트4: 																											1개(USB-C겸용) / 												USB-C: 1개 / USB-A: 1개 / MicroSD카드 / 부가기능 지문 인식 / 																											TPM / 																											USB-PD / 																											MIL-STD / 												입력장치 키보드 라이트 / 																											ㅗ형 방향키 / 												파워 배터리: 																											63Wh / 																											어댑터: 																											65W / 																											충전단자: 																											타입C / 												주요제원 두께: 																											11.2mm / 																											무게: 																											870g / 												색상: 실버,2022.03.,(3건),"['1,299,950원\n\n가격정보 더보기']",['SSD 256GB'],//img.danawa.com/new/noData/img/noImg_160.gif
16615775,디지털 완제품_노트북,1611620,삼성전자 갤럭시북2 프로360 NT950QED-KC51G,2 in 1 / 																											운영체제(OS): 																											윈도우11홈 / 												화면정보 39.6cm(15.6인치) / 																											1920x1080(FHD) / 												CPU 인텔 / 																											코어i5-12세대 / 																											i5-1240P (1.7GHz) / 																											12코어(4P+8E) / 												램 LPDDR5(온보드) / 																											램 용량: 																											16GB / 												램 교체: 불가능 / 그래픽 내장그래픽 / Iris Xe / 저장장치 M.2(NVMe) / 																											256GB / 																											저장 슬롯: 																											2개 / 												네트워크 무선랜: 802.11ax(Wi-Fi 6E) / 영상입출력 웹캠(FHD) / 												단자 썬더볼트4: 																											1개(USB-C겸용) / 												USB-C: 2개 / MicroSD카드 / 부가기능 지문 인식 / 																											TPM / 																											전용 펜 지원 / 												전용 펜 포함 / 															USB-PD / 																											MIL-STD / 												입력장치 ㅗ형 방향키 / 																											숫자 키패드(3열) / 												파워 배터리: 																											68Wh / 																											어댑터: 																											65W / 																											충전단자: 																											타입C / 												주요제원 두께: 																											11.9mm / 																											무게: 																											1.41kg / 												색상: 그라파이트,2022.03.,(13건),"['1,611,620원\n\n가격정보 더보기', '1,726,750원\n\n가격정보 더보기', '1,734,780원\n\n가격정보 더보기', '2,092,990원\n\n가격정보 더보기', '1,990,000원\n\n가격정보 더보기', '2,290,000원\n\n가격정보 더보기', '2,290,000원\n\n가격정보 더보기', '2,490,000원\n\n가격정보 더보기']","['1위, , , , , , , , , , , , , , , , , , , , , , , , , , , SSD 256GB', 'SSD 500GB', '2위, , , , , , , , , , , , , , , , , , , , , , , , , , , SSD 1TB', 'SSD 2TB', 'SSD 250GB + SSD 256GB', 'SSD 500GB + SSD 256GB', 'SSD 1TB + SSD 256GB', 'SSD 2TB + SSD 256GB']",//img.danawa.com/new/noData/img/noImg_160.gif
16615640,디지털 완제품_노트북,1688350,삼성전자 갤럭시북2 프로360 NT950QED-KC51S,2 in 1 / 																											운영체제(OS): 																											윈도우11홈 / 												화면정보 39.6cm(15.6인치) / 																											1920x1080(FHD) / 												CPU 인텔 / 																											코어i5-12세대 / 																											i5-1240P (1.7GHz) / 																											12코어(4P+8E) / 												램 LPDDR5(온보드) / 																											램 용량: 																											16GB / 												램 교체: 불가능 / 그래픽 내장그래픽 / Iris Xe / 저장장치 M.2(NVMe) / 																											256GB / 																											저장 슬롯: 																											2개 / 												네트워크 무선랜: 802.11ax(Wi-Fi 6E) / 영상입출력 웹캠(FHD) / 												단자 썬더볼트4: 																											1개(USB-C겸용) / 												USB-C: 2개 / MicroSD카드 / 부가기능 지문 인식 / 																											TPM / 																											전용 펜 지원 / 												전용 펜 포함 / 															USB-PD / 																											MIL-STD / 												입력장치 ㅗ형 방향키 / 																											숫자 키패드(3열) / 												파워 배터리: 																											68Wh / 																											어댑터: 																											65W / 																											충전단자: 																											타입C / 												주요제원 두께: 																											11.9mm / 																											무게: 																											1.41kg / 												색상: 실버,2022.03.,(5건),"['1,688,350원\n\n가격정보 더보기']",['SSD 256GB'],//img.danawa.com/new/noData/img/noImg_160.gif
,,,,,,,,,
16599746,디지털 완제품_노트북,1598400,삼성전자 갤럭시북2 프로360 NT930QEW-A51A,2 in 1 / 																											운영체제(OS): 																											미포함(프리도스) / 												화면정보 33.7cm(13.3인치) / 																											1920x1080(FHD) / 												CPU 인텔 / 																											코어i5-12세대 / 																											i5-1240P (1.7GHz) / 																											12코어(4P+8E) / 												램 LPDDR5(온보드) / 																											램 용량: 																											16GB / 												램 교체: 불가능 / 그래픽 내장그래픽 / Iris Xe / 저장장치 M.2(NVMe) / 																											256GB / 																											저장 슬롯: 																											1개 / 												네트워크 무선랜: 802.11ax(Wi-Fi 6E) / 영상입출력 웹캠(FHD) / 												단자 썬더볼트4: 																											1개(USB-C겸용) / 												USB-C: 2개 / MicroSD카드 / 부가기능 지문 인식 / 																											TPM / 																											전용 펜 지원 / 												전용 펜 포함 / 															USB-PD / 																											MIL-STD / 												입력장치 키보드 라이트 / 																											ㅗ형 방향키 / 												파워 배터리: 																											63Wh / 																											어댑터: 																											65W / 																											충전단자: 																											타입C / 												주요제원 두께: 																											11.5mm / 																											무게: 																											1.04kg / 												색상: 실버,2022.03.,(30건),"['1,598,400원\n\n가격정보 더보기']",['SSD 256GB'],//img.danawa.com/new/noData/img/noImg_160.gif
16616360,디지털 완제품_노트북,1560000,삼성전자 갤럭시북2 프로360 NT930QED-KC51D,2 in 1 / 																											운영체제(OS): 																											윈도우11홈 / 												화면정보 33.7cm(13.3인치) / 																											1920x1080(FHD) / 												CPU 인텔 / 																											코어i5-12세대 / 																											i5-1240P (1.7GHz) / 																											12코어(4P+8E) / 												램 LPDDR5(온보드) / 																											램 용량: 																											16GB / 												램 교체: 불가능 / 그래픽 내장그래픽 / Iris Xe / 저장장치 M.2(NVMe) / 																											256GB / 																											저장 슬롯: 																											1개 / 												네트워크 무선랜: 802.11ax(Wi-Fi 6E) / 영상입출력 웹캠(FHD) / 												단자 썬더볼트4: 																											1개(USB-C겸용) / 												USB-C: 2개 / MicroSD카드 / 부가기능 지문 인식 / 																											TPM / 																											전용 펜 지원 / 												전용 펜 포함 / 															USB-PD / 																											MIL-STD / 												입력장치 ㅗ형 방향키 / 												파워 배터리: 																											63Wh / 																											어댑터: 																											65W / 																											충전단자: 																											타입C / 												주요제원 두께: 																											11.5mm / 																											무게: 																											1.04kg / 												색상: 버건디,2022.03.,(14건),"['1,560,000원\n\n가격정보 더보기', '1,708,990원\n\n가격정보 더보기', '1,758,990원\n\n가격정보 더보기', '2,150,000원\n\n가격정보 더보기']","['1위, , , , , , , , , , , , , , , , , , , , , , , , , , , SSD 256GB', '2위, , , , , , , , , , , , , , , , , , , , , , , , , , , SSD 500GB', 'SSD 1TB', 'SSD 2TB']",//img.danawa.com/new/noData/img/noImg_160.gif
16628417,디지털 완제품_노트북,1897850,삼성전자 갤럭시북2 프로360 NT950QED-KC71G,2 in 1 / 																											운영체제(OS): 																											윈도우11홈 / 												화면정보 39.6cm(15.6인치) / 																											1920x1080(FHD) / 												CPU 인텔 / 																											코어i7-12세대 / 																											i7-1260P (2.1GHz) / 																											12코어(4P+8E) / 												램 LPDDR5(온보드) / 																											램 용량: 																											16GB / 												램 교체: 불가능 / 그래픽 내장그래픽 / Iris Xe / 저장장치 M.2(NVMe) / 																											512GB / 																											저장 슬롯: 																											2개 / 												네트워크 무선랜: 802.11ax(Wi-Fi 6E) / 영상입출력 웹캠(FHD) / 												단자 썬더볼트4: 																											1개(USB-C겸용) / 												USB-C: 2개 / MicroSD카드 / 부가기능 지문 인식 / 																											TPM / 																											전용 펜 지원 / 												전용 펜 포함 / 															USB-PD / 																											MIL-STD / 												입력장치 키보드 라이트 / 																											ㅗ형 방향키 / 																											숫자 키패드(3열) / 												파워 배터리: 																											68Wh / 																											어댑터: 																											65W / 																											충전단자: 																											타입C / 												주요제원 두께: 																											11.9mm / 																											무게: 																											1.41kg / 												색상: 그라파이트,2022.03.,(60건),"['1,897,850원\n\n가격정보 더보기']",['SSD 512GB'],//img.danawa.com/new/noData/img/noImg_160.gif
