inner_number,articleId,subject,writer_id,writer_nick,memberLevelName,writeDate,readCount,commentCount
990953049,990953049,갤럭시북3 프로 NT940XFT-A51A 베이지 미개봉 새제품 팝니다.,t1127,내가니아비달,열심회원,1684478472923,3,0
990953023,990953023,삼성 NT550EBZ i3-7020U 화이트 중고노트북 학생용 사무용 휴대용,notebookseller,화원상사ㅡ LOGEN택배,◆셀러회원◆,1684478461303,1,0
990953008,990953008,[매입] 전국 출장매입 최고가 맡겨주시면 최선을 다하겠습니다!,yu35cc,세모IT OlO55057828,◆셀러회원◆,1684478456307,1,0
990952912,990952912,삼성 노트북 NT500R5W 본체+델 23인치 모니터 팝니다.,adlea0805,바다포도0,열심회원,1684478421407,2,0
990952797,990952797,미개봉)삼성 갤럭시북3프로 14인치 NT940XFG-KC51E 최저가,tjdtlftjdrhd,아이티나라본점,◆셀러회원◆,1684478387357,2,0
990952779,990952779,삼성넷북(NT-NC10)팝니다,zillian4004,덴드라비움,열심회원,1684478383363,1,0
990952743,990952743,"맥북프로 m1 14"" 판매나 게이밍 노트북 교환",woori100415,디아블로 4,열심회원,1684478373400,1,0
990952716,990952716,[판매] 터치스크린 HP 노트북 i5 램8G SSD256G 윈11,qpsgj260,하프북 0263396500,◆셀러회원◆,1684478366647,1,0
990952712,990952712,"아이맥 A1418 2015 년식 제품 입니다 - 윈도우 셋팅 완료(한글,엑셀, 한글 설치완료)",lovegreeting1,전산몰,◆셀러회원◆,1684478365203,1,0
990952711,990952711,기가바이트 어로스7 sb 게이밍노트북 i7-10750H gtx1660 램 16G 144hz 17인치,leehwi1012,웃는기왕,열심회원,1684478365200,3,0
990952692,990952692,msi gf75 9sc 게이밍 노트북 팔아요 2.2kg경량 17.3인치,dlrudrn100,alrrr100,열심회원,1684478360140,3,0
990952561,990952561,[매입]감가X 중고 노트북 맥북 게이밍 아이맥 24시 출장매입,foryou_ju,전자마켓,◆셀러회원◆,1684478318243,1,0
990952434,990952434,[가격내림] 삼성 노트북 플러스2 NT550XDA-K24AR 풀박스,euangelion,쀼멍뭉,◆셀러회원◆,1684478276500,0,0
990952428,990952428,[미개봉] asus  아수스 젠북 프로 17 게이밍 노트북,whgmltkd1234,싱가맨,열심회원,1684478273800,3,0
990952393,990952393,(미개봉) LG노트북  2023 LG그램  i5 13세대 모델 팝니다,rlaenghks5850,rlaenghks58,열심회원,1684478257607,4,0
990952393,990952393,(미개봉) LG노트북  2023 LG그램  i5 13세대 모델 팝니다,rlaenghks5850,rlaenghks58,열심회원,1684478257607,4,0
990952366,990952366,10 삼성노트북 i5 고성능/엔비디아그래픽/빠른부팅/성능굿,perfectmanym,노트북플라자,◆셀러회원◆,1684478249617,1,0
990952360,990952360,LG 노트북 17인치 그램(GRAM) 13세대 17Z90R-GA56K 미개봉,yalariyala,나보늘모,열심회원,1684478247377,5,0
990952349,,,,,,,,
990952301,990952301,삼성 갤북2 프로 NT950XEE-X71AR 업글개봉 2TB,rbalsqyd,rbalsqyd,열심회원,1684478226437,0,0
990951977,990951977,애플 아이맥 21.5인치 2009 팝니다,ssman737,ssman737,열심회원,1684478125583,2,0
990951815,990951815,[079] HP 프로북 450 G3 i5-6th 노트북 19만,happy__610,해똘순애보,◆셀러회원◆,1684478077080,2,0
990951765,990951765,맥북프로 맥스튜디오 맥북에어 미개봉 전국 최저가 판매,kwon_gee1,topontopcom,◆셀러회원◆,1684478061100,3,0
990951687,990951687,[판매]Dell 7세대 고성능 i5 게이밍 노트북,fastman77,섭이네노트북,◆셀러회원◆,1684478036827,5,0
990951663,990951663,레노버 Thinkpad X1 Yoga 2in1 노트북 판매 합니다.,enskuld,enskuld,열심회원,1684478029137,5,0
990951630,990951630,LG노트북 울트라북15인치-15U56 (배터리교체),mywon02,띠띠뽀찌찌뽀,열심회원,1684478018303,5,0
990951616,990951616,[판매]서피스 랩탑4 13.5인치 R5/8g/256GB 깔끔한 제품,ibabo0110,전자마켓 인천 청라점,◆셀러회원◆,1684478013127,2,0
990951456,990951456,맥북프로 미드2012 15인치 상태좋은거 다운해서  내놉니다.,jubiju,jubiju,열심회원,1684477952900,3,0
990951451,,,,,,,,
990951414,990951414,2021 맥북 에어 M1 13인치 cto 모델 처분 -,dhvms90,SSupamn,◆셀러회원◆,1684477938407,1,0
990951451,,,,,,,,
990951414,990951414,2021 맥북 에어 M1 13인치 cto 모델 처분 -,dhvms90,SSupamn,◆셀러회원◆,1684477938407,1,0
990951376,990951376,"M1 pro 맥북프로 14"" 스페이스그레이 8core 512GB 16GB",heavensdrv,로이랭,열심회원,1684477929517,4,0
990951277,990951277,삼성 노트북 플러스2 NT551XDA  i5-11세대/16GB,migmigy,베이직스,◆셀러회원◆,1684477898990,2,0
990951238,990951238,갤럭시북3 프로 nt940xft-a51a nt960xft-a51a 미개봉새제품 팝니다,fomal23,8달산,열심회원,1684477885020,3,0
990951224,990951224,요가 슬림7 카본 14acn06 (랜카드 ax210 교체) 팝니다,fomal23,8달산,열심회원,1684477881090,1,0
990951218,990951218,씽크패드 z13 6650u s급 팝니다,fomal23,8달산,열심회원,1684477876890,6,0
990950922,990950922,[매입][만족도 1위]24시 전국출장 빠른견적 최고가로 맞춰드립니다,thwndgksakdma,아이티매니아전국,◆셀러회원◆,1684477775093,2,0
990950881,990950881,삼성 오디세이 NT800G5W-XD7S,sure2009,붕어,열심회원,1684477765663,1,0
990950840,990950840,2019 맥북프로16인치CTO i9 32G 512g 스그,yu_4885,서울시강동구,◆셀러회원◆,1684477751623,2,0
990950746,990950746,HP 노트북 프로북 455 G9 판매합니다,alex1417,holaaaaaa,열심회원,1684477720857,3,0
990950689,990950689,맥북프로 A1286 고사양 제품 판매합니다.(포토샵 및 로직 작업용),lovegreeting1,전산몰,◆셀러회원◆,1684477700300,2,0
990950496,990950496,[판매]애플 M2 맥북프로13 MNEQ3KH/A SSD512GB 미개봉,enrlenrl3333,서부면허,◆셀러회원◆,1684477632633,2,0
990950462,990950462,[매입] 전자제품 노트북 태블릿 맥북 삼성 엘지 당일매입24시,inpchoms,다사요24 01058355451,◆셀러회원◆,1684477619447,1,0
990950450,990950450,노트북 태블릿 서류 가방 파우치 팝니다,nivea6260,coinpurse,열심회원,1684477615430,3,0
990950424,990950424,2021 맥북프로 14인치 m1 엠원 pro max CTO S급판매,volcom_h,didrndchlrh,◆셀러회원◆,1684477606250,2,0
990950402,990950402,파나소닉 태블릿 겸용 노트북 CF-XZ6 코어 i5 7300u 8기가 램,kjh26317,697100,열심회원,1684477598830,4,0
990950385,990950385,[판매] 삼성 i5 지포스920MX 램8G SSD128G 윈10,qpsgj260,하프북 0263396500,◆셀러회원◆,1684477593260,1,0
990950285,990950285,델 게이밍 노크북 팝니다 사양 좋습니다 ,zhao-52,세계를바라보며,열심회원,1684477555947,4,0
990950261,990950261,HP 파빌리온 슬릭북 15-B009TU 노트북,123kkkaa,차르붐바57,열심회원,1684477545810,4,0
990950228,990950228,hp 게이밍노트북 15-ak013TX i5-6300HQ GTX 950M 캐드 중고,notebookseller,화원상사ㅡ LOGEN택배,◆셀러회원◆,1684477530660,2,0
990950043,990950043,eGPU Razer Core X Chroma,boxter98,릴쓰 팍,열심회원,1684477461503,18,0
990949927,990949927,HP 오멘 15-en1021ax 게이밍노트북 팝니다 (RTX3060),wlwl2828,우후죽순z,열심회원,1684477420920,5,0
990949673,990949673,HP 프로북 455 G7 풀박스,euangelion,쀼멍뭉,◆셀러회원◆,1684477342367,2,0
990949667,990949667,ASUS 게이밍 노트북 ROG 제피러스 G GA502IV-AZ001T 2020년형,liveyuza,꼬깻님,열심회원,1684477340400,7,0
990949629,990949629,HP Zbook G3 판매합니다.,enskuld,enskuld,열심회원,1684477329860,2,0
990949623,990949623,9 삼성노트북 깔끔 i5 756G/8G 풀업글/성능굿,perfectmanym,노트북플라자,◆셀러회원◆,1684477327853,4,0
990949465,990949465,[미개봉] 삼성 갤럭시북3 프로 NT940XFT-A51A 13세대 i5/16G/256G/14인치,idd1269,물건파는사람들,열심회원,1684477273300,5,0
990949422,,,,,,,,
990949417,990949417,레노버 씽크패드 L14,brkukyoung,kukyoung,열심회원,1684477259493,10,0
990949417,990949417,레노버 씽크패드 L14,brkukyoung,kukyoung,열심회원,1684477259493,10,0
990949404,990949404,[미개봉] LG그램 14ZD90R-GX56K/i5-1340P/16GB/256GB,idd1269,물건파는사람들,열심회원,1684477254093,1,0
990949304,990949304,삼성 아티브북2 NT270E5G-K40D (i3/4gb/hdd500gb),ankooksta,anrnrstation,열심회원,1684477222040,2,0
990949245,990949245,UMPC 옥조 AOKZOE A1L 6800U,jackalack,Rock,열심회원,1684477201707,10,0
990949232,990949232,풀옵션 게이밍 노트북 MSI Raider GE76 가격내림,ahnjuyoung84,랜디84,열심회원,1684477196573,4,0
990949190,990949190,[미개봉] 레노버 노트북 Thinkbook 16P 가격내림,ahnjuyoung84,랜디84,열심회원,1684477182157,6,0
990949188,990949188,레노버 경량노트북 아이디어패드 슬림3 i5-11세대 갓성비 A급 급처,tjdtlftjdrhd,아이티나라본점,◆셀러회원◆,1684477182123,3,0
990949143,990949143,"[매입] 고장아이맥,고장 맥미니 맥북프로 애플제품모두 매입",luisgood1,다사요컴닥터,◆셀러회원◆,1684477171140,2,0
990949123,990949123,[매입]노트북매입 데스크탑매입 출장매입 대량환영 지방출장가능,rtyrty6565,알에스전자마켓,◆셀러회원◆,1684477165253,2,0
990949053,990949053,[072] 삼성 NT200B5C i7-3th 노트북 17만,happy__610,해똘순애보,◆셀러회원◆,1684477145087,2,0
990949035,990949035,애플 아이맥 24인치 M1 엠원 레티나 단순개봉품 2021년형,kwon_gee1,topontopcom,◆셀러회원◆,1684477138720,2,0
990948749,990948749,"LG  Xnote S530-LE20K 부품용 노트북 택포 25,000원에 판매합니다.",gunsnave,gunsnave,열심회원,1684477042947,12,0
990948714,990948714,로직 및 포토샵용 맥북프로 판매합니다.,lovegreeting1,전산몰,◆셀러회원◆,1684477031233,1,0
990948703,990948703,삼성 갤럭시북 플렉스 알파 nt730qcr-a38a 저렴하게 급처,bumbum779,범범크앙,열심회원,1684477027027,5,0
990948697,990948697,맥북 16인치 m1 max 64g 2t,ccs1350,cschoi,열심회원,1684477024980,5,0
